"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"0";"1";"2"
"BISE58_d";"ThLaq";"Int";2;4;"H+";12;5,52126500545912;3,76911503214335
"BISE59_a";"ThLaq";"Int";3;1;"H+";12;5,99180081959976;4,3594012781702
"BISE59_b";"ThLaq";"Int";3;2;"H+";12;5,74933316528651;3,99372424722662
"BISE59_c";"ThLaq";"Int";3;3;"H+";12;6,05862458387266;4,44241623633962
"BISE59_d";"ThLaq";"Int";3;4;"H+";12;5,89959691981692;4,14051720300886
"BISE60_a";"ThLaq";"Int";4;1;"H+";12;5,73358844172291;3,90708670553767
"BISE60_b";"ThLaq";"Int";4;2;"H+";12;5,07317383165242;3,29708625551298
"BISE60_c";"ThLaq";"Int";4;3;"H+";12;5,81000579413751;3,99314884984882
"BISE60_d";"ThLaq";"Int";4;4;"H+";13;5,506281535192;3,7356672359112
"BISE61_a";"ThLaq";"Ext";1;1;"H-";13;5,61168719785783;3,95580881102228
"BISE61_b";"ThLaq";"Ext";1;2;"H-";13;5,50882964278238;3,7085006062239
"BISE61_c";"ThLaq";"Ext";1;3;"H-";12;5,91449427295525;4,25775847288106
"BISE61_d";"ThLaq";"Ext";1;4;"H-";12;5,35898088630715;3,64898805169471
"BISE62_a";"ThLaq";"Ext";2;1;"H-";14;6,11963891311429;4,33177077229579
"BISE62_b";"ThLaq";"Ext";2;2;"H-";13;5,78787931163038;4,1142734506554
"BISE62_c";"ThLaq";"Ext";2;3;"H-";12;6,04063846628863;4,38781370584188
"BISE62_d";"ThLaq";"Ext";2;4;"H-";12;5,98276215564921;4,33380820274424
"BISE63_a";"ThLaq";"Ext";3;1;"H-";14;5,71166203286672;3,92426871903217
"BISE63_b";"ThLaq";"Ext";3;2;"H-";12;5,44173291038556;3,70299315729818
"BISE63_c";"ThLaq";"Ext";3;3;"H-";12;5,73146516546669;4,02072909220872
"BISE63_d";"ThLaq";"Ext";3;4;"H-";14;5,85698518774637;3,92344796784279
"BISE64_a";"ThLaq";"Ext";4;1;"H-";13;5,65704206350385;4,00276216782551
"BISE64_b";"ThLaq";"Ext";4;2;"H-";14;5,98954559295569;4,26505477899509
"BISE64_c";"ThLaq";"Ext";4;3;"H-";13;5,8565472203395;4,24655457087981
"BISE64_d";"ThLaq";"Ext";4;4;"H-";14;5,65145167894256;3,99616606419104
