"";"keys";"names";"trophic_group"
"653";"4886632";"Mucilaginibacter";17
"654";"9467085";"Mucor";3
"655";"2555295";"Multiclavula mucida";3
"656";"8018537";"Mycobacterium";17
"657";"3220801";"Mycoplana";17
"658";"8360084";"Mykophagophrys terricola";19
"659";"1318887";"Myrmica scabrinodis";20
"660";"8944";"Myxococcaceae";17
"661";"1384";"Myxococcales";17
"662";"2076179";"Myzus persicae";8
"663";"102565918";"Nakamurella";17
"664";"102979699";"Nannochloris";20
"665";"102710354";"Nannocystis";17
"666";"7212";"Neanuridae";20
"667";"9171551C1";"Neobodo designis";9
"668";"4555937";"Neopsilenchus magnidens";15
"669";"9598872";"Neourostylopsis";6
"670";"3228891";"Niastella";17
"671";"3220964";"Nitratireductor";17
"672";"3222546";"Nitrosococcus";17
"673";"6453386";"Nitrosopumilaceae";2
"674";"6453387";"Nitrosopumilus";2
"675";"8079935";"Nitrososphaera";2
"676";"3220358";"Nitrosospira";17
"677";"102558290";"Nitrospira";17
"678";"5427444";"Nitrospira marina";17
"679";"2628185";"Nitzschia";20
"680";"5266190";"Nitzschia pusilla";20
"681";"9582951";"Nocardia";17
"682";"8085";"Nocardiaceae";17
"683";"8087";"Nocardioidaceae";17
"684";"3224302";"Nocardioides";17
"685";"1789695";"Noctua pronuba";20
"686";"4378437";"Nolandella";15
"687";"3225488";"Nonomuraea";17
"688";"3249165";"Nordiidae";15
"689";"1002835";"Notholca acuminata";15
"690";"5023058";"Notiophilus rufipes";20
"691";"7512659";"Novosphingobium";17
"692";"3212286";"Nuclearia";11
